source,district_name,charter_chapter,charter_url,matched_pwsid,matched_pws_name,match_score,match_status,has_service_polygon,has_political_bnd
epa_system,DORSET FIRE DISTRICT 1,,,VT0005020,DORSET FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,EAST DORSET FIRE DISTRICT 1,,,VT0005021,EAST DORSET FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,BROMLEY WATER COMPANY,,,VT0005024,BROMLEY WATER COMPANY,,unmatched_system,Y,N
epa_system,LAMPMAN WATER SYSTEM,,,VT0005026,LAMPMAN WATER SYSTEM,,unmatched_system,Y,N
epa_system,ROYAL PINE VILLA,,,VT0005027,ROYAL PINE VILLA,,unmatched_system,Y,N
epa_system,READSBORO TOWN OF,,,VT0005028,READSBORO TOWN OF,,unmatched_system,Y,N
epa_system,PINE RIDGE WATER SYSTEM,,,VT0005056,PINE RIDGE WATER SYSTEM,,unmatched_system,Y,N
epa_system,HILLCREST MHP INC,,,VT0005057,HILLCREST MHP INC,,unmatched_system,Y,N
epa_system,COLCHESTER FIRE DISTRICT 1,,,VT0005058,COLCHESTER FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,COLCHESTER FIRE DISTRICT 3,,,VT0005060,COLCHESTER FIRE DISTRICT 3,,unmatched_system,Y,N
epa_system,ESSEX JCT WATER DEPT,,,VT0005066,ESSEX JCT WATER DEPT,,unmatched_system,Y,N
epa_system,HINESBURG WATER DEPT,,,VT0005070,HINESBURG WATER DEPT,,unmatched_system,Y,N
epa_system,MILTON WATER DEPT,,,VT0005079,MILTON WATER DEPT,,unmatched_system,Y,N
epa_system,SHELBURNE WATER DEPT,,,VT0005087,SHELBURNE WATER DEPT,,unmatched_system,Y,N
epa_system,LIVINGSTON MHP,,,VT0005089,LIVINGSTON MHP,,unmatched_system,Y,N
epa_system,SOUTH BURLINGTON FIRE DISTRICT,,,VT0005090,SOUTH BURLINGTON FIRE DISTRICT,,unmatched_system,Y,N
epa_system,CHAMPLAIN WATER DISTRICT,,,VT0005092,CHAMPLAIN WATER DISTRICT,,unmatched_system,Y,N
epa_system,ST GEORGE FIRE DISTRICT 1,,,VT0005093,ST GEORGE FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,ST GEORGE FIRE DISTRICT #2,,,VT0005094,ST GEORGE FIRE DISTRICT #2,,unmatched_system,Y,N
epa_system,ST GEORGE COMMUNITY COOPERATIVE,,,VT0005095,ST GEORGE COMMUNITY COOPERATIVE,,unmatched_system,Y,N
epa_system,WILLISTON WATER DEPT,,,VT0005098,WILLISTON WATER DEPT,,unmatched_system,Y,N
epa_system,WILLISTON FIRE DISTRICT 1,,,VT0005100,WILLISTON FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,FAIRFAX HEIGHTS WATER CO,,,VT0005118,FAIRFAX HEIGHTS WATER CO,,unmatched_system,Y,N
epa_system,SOUTH GEORGIA FIRE DISTRICT,,,VT0005121,SOUTH GEORGIA FIRE DISTRICT,,unmatched_system,Y,N
epa_system,SWANTON VILLAGE WATER,,,VT0005132,SWANTON VILLAGE WATER,,unmatched_system,Y,N
epa_system,SUNSET TERRACE ESTATES,,,VT0005133,SUNSET TERRACE ESTATES,,unmatched_system,Y,N
epa_system,HOMESTEAD ACRES MHP,,,VT0005134,HOMESTEAD ACRES MHP,,unmatched_system,Y,N
epa_system,ALBURGH VILLAGE WATER SYSTEM,,,VT0005136,ALBURGH VILLAGE WATER SYSTEM,,unmatched_system,Y,N
epa_system,ALBURGH FIRE DISTRICT 1,,,VT0005137,ALBURGH FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,FORT WARREN MHP,,,VT0005213,FORT WARREN MHP,,unmatched_system,Y,N
epa_system,DANBY MOUNT TABOR F D 1,,,VT0005217,DANBY MOUNT TABOR F D 1,,unmatched_system,Y,N
epa_system,PITTSFORD FLORENCE WATER DEPT,,,VT0005225,PITTSFORD FLORENCE WATER DEPT,,unmatched_system,Y,N
epa_system,POULTNEY WATER DEPT,,,VT0005227,POULTNEY WATER DEPT,,unmatched_system,Y,N
epa_system,PROCTOR WATER DEPT,,,VT0005228,PROCTOR WATER DEPT,,unmatched_system,Y,N
epa_system,CUTTINGSVILLE FIRE DISTRICT,,,VT0005241,CUTTINGSVILLE FIRE DISTRICT,,unmatched_system,Y,N
epa_system,WALLINGFORD FIRE DISTRICT 1,,,VT0005242,WALLINGFORD FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,SOUTH WALLINGFORD WATER CO,,,VT0005243,SOUTH WALLINGFORD WATER CO,,unmatched_system,Y,N
epa_system,WEST RUTLAND TOWN,,,VT0005244,WEST RUTLAND TOWN,,unmatched_system,Y,N
epa_system,MOUNT SNOW VILLAGE ASSOCIATION,,,VT0005291,MOUNT SNOW VILLAGE ASSOCIATION,,unmatched_system,Y,N
epa_system,MAGIC VILLAGE WATER COOP,,,VT0005294,MAGIC VILLAGE WATER COOP,,unmatched_system,Y,N
epa_system,BELLOWS FALLS WATER DEPT,,,VT0005298,BELLOWS FALLS WATER DEPT,,unmatched_system,Y,N
epa_system,VERMONT ACADEMY,,,VT0005303,VERMONT ACADEMY,,unmatched_system,Y,N
epa_system,NORTHSHORE MHP,,,VT0005304,NORTHSHORE MHP,,unmatched_system,Y,N
epa_system,WESTMINSTER AQUEDUCT SOCIETY,,,VT0005306,WESTMINSTER AQUEDUCT SOCIETY,,unmatched_system,Y,N
epa_system,SHADY PINES MHP,,,VT0005309,SHADY PINES MHP,,unmatched_system,Y,N
epa_system,WILMINGTON WATER DIST,,,VT0005310,WILMINGTON WATER DIST,,unmatched_system,Y,N
epa_system,COLD BROOK FIRE DISTRICT 1,,,VT0005313,COLD BROOK FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,CAVENDISH TOWN WATER SYSTEM,,,VT0005317,CAVENDISH TOWN WATER SYSTEM,,unmatched_system,Y,N
